0,1,2,3,4,5,6,7,8,9,10,11
(496.11548566+0j),(-496.17234106+12.48456022j),(494.71642846-24.98230051j),(-494.88649385+38.39087663j),(493.32181324-50.18242732j),(-491.43522996+62.52457721j),(490.05834758-74.99523195j),(-487.67607128+88.30591522j),(486.06341396-99.18249592j),(-482.49379178+112.10398439j),(479.84621655-124.60768148j),(-476.27739917+136.34759086j)
(-496.17234106-12.48456022j),(497.5670408+0j),(-495.91709974+12.52757908j),(496.42015373-25.97878631j),(-495.13675552+37.86165149j),(493.58937853-50.25565083j),(-492.57044407+62.76879259j),(490.46198222-76.14804786j),(-489.14246537+87.09496899j),(485.88184696-100.06980379j),(-483.55976364+112.69241965j),(480.26765596-124.56051195j)
(494.71642846+24.98230051j),(-495.91709974-12.52757908j),(495.63504317+0j),(-495.95030394+13.35339817j),(495.00464242-25.25348512j),(-493.74641467+37.67690499j),(493.05592272-50.20195591j),(-491.29339885+63.59838408j),(490.23187481-74.55522717j),(-487.32699773+87.58829566j),(485.2929705-100.21602472j),(-482.36474036+112.14076656j)
(-494.88649385-38.39087663j),(496.42015373+25.97878631j),(-495.95030394-13.35339817j),(497.60762849+0j),(-496.49374676+11.94103296j),(495.57183916-24.4228726j),(-495.21093784+36.96930695j),(493.80060142-50.45400555j),(-493.05271896+61.43416519j),(490.49186566-74.61782888j),(-488.77032409+87.28968169j),(486.16048005-99.30164746j)
(493.32181324+50.18242732j),(-495.13675552-37.86165149j),(495.00464242+25.25348512j),(-496.49374676-11.94103296j),(496.66479412+0j),(-495.56404838+12.51184511j),(495.44739741-25.01019554j),(-494.41323798+38.53445535j),(493.90329492-49.5034202j),(-491.63489808+62.72980557j),(490.26604939-75.44561735j),(-487.90704113+87.50743739j)
(-491.43522996-62.52457721j),(493.58937853+50.25565083j),(-493.74641467-37.67690499j),(495.57183916+24.4228726j),(-495.56404838-12.51184511j),(495.77825074+0j),(-495.47322177+12.51289364j),(494.78641636-26.0001184j),(-494.5654553+37.00901622j),(492.60891659-50.29290484j),(-491.57213103+63.00889566j),(489.52577254-75.11214568j)
(490.05834758+74.99523195j),(-492.57044407-62.76879259j),(493.05592272+50.20195591j),(-495.21093784-36.96930695j),(495.44739741+25.01019554j),(-495.47322177-12.51289364j),(496.53265921+0j),(-495.6349115+13.56211672j),(495.72536852-24.5329852j),(-494.15281214+37.85492411j),(493.43476925-50.59470222j),(-491.66498491+62.786119j)
(-487.67607128-88.30591522j),(490.46198222+76.14804786j),(-491.29339885-63.59838408j),(493.80060142+50.45400555j),(-494.41323798-38.53445535j),(494.78641636+26.0001184j),(-495.6349115-13.56211672j),(496.15727882+0j),(-495.98326886+11.03444359j),(494.78939285-24.34165615j),(-494.44325709+37.1237243j),(492.99654076-49.30990485j)
(486.06341396+99.18249592j),(-489.14246537-87.09496899j),(490.23187481+74.55522717j),(-493.05271896-61.43416519j),(493.90329492+49.5034202j),(-494.5654553-37.00901622j),(495.72536852+24.5329852j),(-495.98326886-11.03444359j),(497.15843775+0j),(-495.70543556+13.36214745j),(495.57368091-26.15890477j),(-494.43890382+38.39563047j)
(-482.49379178-112.10398439j),(485.88184696+100.06980379j),(-487.32699773-87.58829566j),(490.49186566+74.61782888j),(-491.63489808-62.72980557j),(492.60891659+50.29290484j),(-494.15281214-37.85492411j),(494.78939285+24.34165615j),(-495.70543556-13.36214745j),(495.61404021+0j),(-495.37703477+12.79279948j),(494.57430504-25.06145063j)
(479.84621655+124.60768148j),(-483.55976364-112.69241965j),(485.2929705+100.21602472j),(-488.77032409-87.28968169j),(490.26604939+75.44561735j),(-491.57213103-63.00889566j),(493.43476925+50.59470222j),(-494.44325709-37.1237243j),(495.57368091+26.15890477j),(-495.37703477-12.79279948j),(496.46298885+0j),(-495.4539106+12.30295015j)
(-476.27739917-136.34759086j),(480.26765596+124.56051195j),(-482.36474036-112.14076656j),(486.16048005+99.30164746j),(-487.90704113-87.50743739j),(489.52577254+75.11214568j),(-491.66498491-62.786119j),(492.99654076+49.30990485j),(-494.43890382-38.39563047j),(494.57430504+25.06145063j),(-495.4539106-12.30295015j),(495.75954556+0j)
